TCDV_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TLEE_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TBCT_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCMP_00_01   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TCTR_00   ;   Tempo : 00:00:02   ;   Registros : 91   ;   ORM
TNTO_00   ;   Tempo : 00:00:00   ;   Registros : 96   ;   ORM
TFPG_00   ;   Tempo : 00:00:00   ;   Registros : 9   ;   ORM
TSCR_00_04_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TNFP_00_05_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TBCR_00_01   ;   Tempo : 00:00:00   ;   Registros : 17   ;   CopyDataSet
TSGP_00   ;   Tempo : 00:00:00   ;   Registros : 8   ;   ORM
TFAT_00   ;   Tempo : 00:00:11   ;   Registros : 398   ;   ORM
TREG_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TSCT_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TSPEDF_AJUSTE   ;   Tempo : 00:00:00   ;   Registros : 84   ;   ORM
TMEG_00_01_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPALM_PDA_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TCTB_00   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TPCH_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCRE_00_05_01   ;   Tempo : 00:00:01   ;   Registros : 1151   ;   CopyDataSet
TORS_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TTAB_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TMFC_00_01   ;   Tempo : 00:00:00   ;   Registros : 88   ;   CopyDataSet
TNFP_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TXML_CTE_00   ;   Tempo : 00:00:00   ;   Registros : 90   ;   CopyDataSet
TCMD_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TFAT_00_06   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TFCM_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TDCH_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPES_00_06   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TBCP_00_03   ;   Tempo : 00:00:00   ;   Registros : 8   ;   ORM
TCGA_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCCC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TLFS_00_03   ;   Tempo : 00:00:00   ;   Registros : 486   ;   CopyDataSet
TMFC_00_04   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TNFP_00_04   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPMC_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPSQ_XX_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TETQ_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCFOP_00   ;   Tempo : 00:00:02   ;   Registros : 516   ;   ORM
TFAT_01_LOGS   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TPES_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TROT_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCRE_00_05   ;   Tempo : 00:00:01   ;   Registros : 1149   ;   CopyDataSet
TORS_00   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TOMF_00   ;   Tempo : 00:00:27   ;   Registros : 1898   ;   ORM
TPALM_MSE_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TFLP_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TBCR_00   ;   Tempo : 00:00:00   ;   Registros : 5   ;   ORM
TCLT_00   ;   Tempo : 00:00:00   ;   Registros : 111   ;   ORM
TPRO_00_07   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TBCO_00   ;   Tempo : 00:00:00   ;   Registros : 143   ;   ORM
TNFE_00_04   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPMC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCTA_00_04   ;   Tempo : 00:00:00   ;   Registros : 2   ;   ORM
TOMF_00_01   ;   Tempo : 00:00:05   ;   Registros : 177   ;   ORM
TPALM_MSE_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TRFC_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TGRD_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCTR_00_04   ;   Tempo : 00:00:00   ;   Registros : 2   ;   ORM
TDSP_00   ;   Tempo : 00:00:00   ;   Registros : 23   ;   ORM
TRPA_00_01   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TSCP_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPDC_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TNFE_00_01   ;   Tempo : 00:03:04   ;   Registros : 16662   ;   CopyRecord
TETQP_00   ;   Tempo : 00:00:00   ;   Registros : 4   ;   ORM
TLFS_00_01_01   ;   Tempo : 00:00:00   ;   Registros : 12   ;   CopyRecord
TSCR_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCPA_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TVEF_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TMTL_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TNLP_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCTR_00_01   ;   Tempo : 00:00:00   ;   Registros : 121   ;   ORM
TXML_NFE_00_01   ;   Tempo : 00:00:00   ;   Registros : 65   ;   ORM
TEXP_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPPD_00_01_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TORS_00_02_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TBCP_00   ;   Tempo : 00:00:00   ;   Registros : 120   ;   ORM
TLFS_00   ;   Tempo : 00:00:03   ;   Registros : 486   ;   CopyRecord
TMDO_00   ;   Tempo : 00:00:00   ;   Registros : 30   ;   ORM
TPDC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
